City_ID,City,Lat,Lng,Max Temp,Current Description,Humidity,Cloudiness,Wind Speed,Country
0,Saskylakh,71.9167,114.0833,45.61,overcast clouds,57,99,3.0,RU
1,Ushuaia,-54.8,-68.3,40.66,few clouds,75,20,2.3,AR
2,Molina,-35.1167,-71.2833,47.93,few clouds,85,20,5.75,CL
3,Shimoda,34.6667,138.95,90.1,overcast clouds,82,87,3.24,JP
4,French Harbor,16.35,-86.4333,84.2,few clouds,88,20,16.11,HN
5,Barrow,71.2906,-156.7887,39.22,mist,100,40,5.75,US
6,Albany,42.6001,-73.9662,68.41,broken clouds,95,60,5.48,US
7,Pasni,25.2631,63.471,83.21,overcast clouds,74,100,11.52,PK
8,Bukachacha,52.9833,116.9167,64.85,overcast clouds,41,100,7.92,RU
9,Sitka,57.0531,-135.33,62.49,overcast clouds,82,100,5.75,US
10,Hualmay,-11.0964,-77.6139,60.6,scattered clouds,84,26,7.81,PE
11,Springbok,-29.6643,17.8865,58.77,clear sky,21,8,5.91,ZA
12,Codrington,-38.2667,141.9667,50.52,overcast clouds,94,100,16.11,AU
13,Chui,-33.6971,-53.4616,52.47,broken clouds,96,62,4.25,UY
14,Itakyry,-24.9333,-55.2167,62.2,clear sky,86,3,3.76,PY
15,Severo-Kuril'sk,50.6789,156.125,57.69,overcast clouds,85,85,17.47,RU
16,Kolomna,55.0794,38.7783,76.19,overcast clouds,35,100,6.87,RU
17,Punta Arenas,-53.15,-70.9167,41.11,scattered clouds,75,40,16.11,CL
18,Hazorasp,41.3194,61.0742,78.64,clear sky,13,0,7.07,UZ
19,Chokurdakh,70.6333,147.9167,45.07,overcast clouds,76,100,11.97,RU
20,Santa Maria,-29.6842,-53.8069,58.14,overcast clouds,87,98,4.16,BR
21,Gazojak,41.1875,61.4036,85.05,clear sky,13,0,9.1,TM
22,Sovetskiy,61.3614,63.5842,79.11,scattered clouds,41,33,9.35,RU
23,Kapaa,22.0752,-159.319,80.58,broken clouds,87,75,6.91,US
24,Santa Ana,33.7456,-117.8678,76.24,few clouds,83,20,6.91,US
25,Bambous Virieux,-20.3428,57.7575,73.65,broken clouds,49,75,11.5,MU
26,East London,-33.0153,27.9116,68.94,clear sky,40,0,10.36,ZA
27,Manakara,-22.1333,48.0167,70.38,light rain,80,93,6.58,MG
28,Yellowknife,62.456,-114.3525,55.92,broken clouds,54,75,13.8,CA
29,Vaini,-21.2,-175.2,75.36,few clouds,88,20,5.75,TO
30,Rome,43.2128,-75.4557,69.08,broken clouds,97,75,3.44,US
31,Morant Bay,17.8815,-76.4093,80.22,overcast clouds,85,99,7.67,JM
32,Saint-Philippe,-21.3585,55.7679,76.21,broken clouds,72,62,13.71,RE
33,Krasnyy Chikoy,50.3643,108.7512,53.28,broken clouds,55,83,14.79,RU
34,Puerto Ayora,-0.7393,-90.3518,67.55,broken clouds,91,66,5.01,EC
35,Esperance,-33.8667,121.9,57.76,scattered clouds,58,31,6.46,AU
36,Bengkulu,-3.8004,102.2655,83.12,overcast clouds,70,92,7.27,ID
37,Tuatapere,-46.1333,167.6833,44.11,scattered clouds,69,31,6.4,NZ
38,Jamestown,42.097,-79.2353,67.59,mist,77,0,6.91,US
39,Rikitea,-23.1203,-134.9692,70.99,scattered clouds,71,48,16.4,PF
40,Faanui,-16.4833,-151.75,77.25,clear sky,75,9,10.67,PF
41,Bathsheba,13.2167,-59.5167,81.21,few clouds,78,20,10.36,BB
42,Aripuanã,-9.1667,-60.6333,71.65,scattered clouds,44,33,0.11,BR
43,Petropavlovsk-Kamchatskiy,53.0452,158.6483,62.78,light rain,100,75,4.47,RU
44,Hong Kong,22.2855,114.1577,95.97,broken clouds,59,72,5.99,HK
45,Bria,6.5423,21.9863,68.86,overcast clouds,86,92,1.05,CF
46,Jurm,36.8648,70.8342,58.8,overcast clouds,78,99,1.43,AF
47,Grand Gaube,-20.0064,57.6608,73.8,broken clouds,53,74,8.01,MU
48,Mataura,-46.1927,168.8643,43.43,scattered clouds,66,25,6.24,NZ
49,Port Hedland,-20.3167,118.5667,82.45,clear sky,14,1,14.97,AU
50,Busselton,-33.65,115.3333,61.75,overcast clouds,53,100,8.93,AU
51,Lorengau,-2.0226,147.2712,84.31,few clouds,64,15,7.72,PG
52,Norman Wells,65.282,-126.8329,62.64,smoke,72,75,6.91,CA
53,Manaure,11.7751,-72.4445,81.23,broken clouds,75,68,5.37,CO
54,Hermanus,-34.4187,19.2345,56.8,broken clouds,56,59,8.1,ZA
55,Udachny,66.4167,112.4,48.45,overcast clouds,87,93,12.86,RU
56,Hamilton,39.1834,-84.5333,65.08,clear sky,90,0,0.0,US
57,Mackay,-21.15,149.2,73.69,clear sky,47,0,20.02,AU
58,Longyearbyen,78.2186,15.6401,40.84,broken clouds,81,75,9.22,SJ
59,Qaqortoq,60.7167,-46.0333,45.0,overcast clouds,90,100,4.23,GL
60,Bluff,-46.6,168.3333,47.97,scattered clouds,52,48,18.01,NZ
61,Hilo,19.7297,-155.09,80.28,moderate rain,93,100,5.75,US
62,Nanortalik,60.1432,-45.2371,43.56,overcast clouds,89,89,7.11,GL
63,Rovinj,45.08,13.64,74.5,scattered clouds,64,33,5.75,HR
64,Shakiso,5.75,38.9167,57.07,overcast clouds,85,100,4.92,ET
65,Raudeberg,61.9875,5.1352,60.87,broken clouds,70,61,4.88,NO
66,Dunedin,-45.8742,170.5036,49.8,scattered clouds,56,41,11.01,NZ
